rkb_field,rkb_type,beets_field,beets_type,no_export,convert_to_rkb,sync
Album,string,album,string,,,
Artist,string,artist,string,,,
AverageBpm,float64,rkb_AverageBpm,float64,,,true
BitRate,int32,bitrate,int32,,,
Colour,string,rkb_Colour,string,,,true
Comments,string,comments,string,,,
Composer,string,composer,string,,,
DateAdded,string,rkb_DateAdded,string,,,true
DateModified,string,rkb_DateModified,string,,,true
DiscNumber,int32,disc,int32,,,
Genre,string,genre,string,,,
Grouping,string,grouping,string,,,
Kind,string,format,string,,format_to_kind,
Label,string,label,string,,,
LastPlayed,string,rkb_LastPlayed,string,,,true
Location,string,path,bytes,,,
Mix,string,rkb_Mix,string,,,true
Name,string,title,string,,,
PlayCount,int32,rkb_PlayCount,Int32,,,true
Rating,int32,rkb_Rating,Int32,,,true
Remixer,string,remixer,string,,,
SampleRate,float64,samplerate,int32,,,
Size,int64,filesize,int64,,,
Tonality,string,rkb_Tonality,string,,,true
TotalTime,float64,length,float64,,,
TrackID,int64,rkb_TrackID,Int64,true,,true
TrackNumber,int32,track,int32,,,
Year,int32,year,int32,,,
,,id,int32,true,,
