rkb_field,rkb_type,beets_field,beets_type,no_export,convert_to_rkb
Album,string,album,string
Artist,string,artist,string
AverageBpm,float64,,
BitRate,int32,bitrate,int32
Colour,string,,
Comments,string,comments,string
Composer,string,composer,string
DateAdded,string,rkb-DateAdded,string
DateModified,string,,
DiscNumber,int32,disc,int32
Genre,string,genre,string
Grouping,string,grouping,string
Kind,string,format,string,,format_to_kind
Label,string,label,string
LastPlayed,string,,
Location,string,path,bytes
Mix,string,rkb-Mix,string
Name,string,title,string
PlayCount,int32,rkb-PlayCount,Int32
Rating,int32,rkb-Rating,Int32
Remixer,string,remixer,string
SampleRate,float64,samplerate,int32
Size,int64,filesize,int64
Tonality,string,,
TotalTime,float64,length,int32
TrackID,int64,rkb-TrackID,Int64,true
TrackNumber,int32,track,int32
Year,int32,year,int32
,,id,int32,true
